,Unnamed: 0,previous_day_admission_influenza_confirmed
1438,65391,26.0
1439,63982,29.0
1440,63591,24.0
1441,73018,21.0
1442,65991,15.0
1443,71901,18.0
1444,65217,23.0
1445,73867,20.0
1446,74106,21.0
1447,74028,23.0
1448,62595,23.0
1449,67430,16.0
1450,62306,21.0
1451,67384,27.0
1452,66002,21.0
1453,70874,28.0
1454,65555,18.0
1455,72450,20.0
1456,67425,22.0
1457,68069,14.0
1458,68210,11.0
1459,64640,8.0
1460,71081,12.0
1461,74019,10.0
1462,72211,7.0
1463,67335,14.0
1464,68227,7.0
1465,63273,12.0
1466,73121,5.0
1467,61735,14.0
1468,68296,11.0
1469,65199,6.0
1470,68706,9.0
1471,65606,11.0
1472,71717,16.0
1473,69703,7.0
1474,72042,9.0
1475,69911,2.0
1476,67498,4.0
1477,72821,3.0
1478,65092,5.0
1479,73637,7.0
1480,73052,10.0
1481,62674,2.0
1482,66497,4.0
1483,69993,4.0
1484,61684,6.0
1485,68249,7.0
1486,63890,8.0
1487,69908,6.0
1488,64269,10.0
1489,67096,7.0
1490,64662,7.0
1491,72966,9.0
1492,69306,9.0
1493,70283,7.0
1494,69646,5.0
1495,70272,7.0
1496,72789,0.0
1497,73741,6.0
1498,73326,5.0
1499,72723,13.0
1500,62720,5.0
1501,62540,7.0
1502,70812,8.0
1503,62864,5.0
1504,67407,6.0
1505,71518,5.0
1506,69508,5.0
1507,64708,9.0
1508,66688,8.0
1509,60936,8.0
1510,73825,3.0
1511,68402,5.0
1512,69872,1.0
1513,65375,6.0
1514,69713,5.0
1515,72369,10.0
1516,73038,8.0
1517,68999,6.0
1518,73487,2.0
04,67407,6.0
0
